Código PLU;Código de Barras;SKU;Producto / Corte;Categoría;Precio ($);Unidad;Stock;Disponible;Descripción
2002;;1;AGUJA PARRILLERA;CARNE VACUNA;17327;kg;85;SÍ;
2018;;160;Albondigas CV;CARNE VACUNA;16987;kg;100;SÍ;
2017;;2;ARANITA;CARNE VACUNA;19987;kg;130;SÍ;
2016;;3;ASADO SURTIDO PREMIUM;CARNE VACUNA;11987;kg;150;SÍ;
2015;;68;BALERO DE OSOBUCO ENVASADO PAMPA;CARNE VACUNA;0,01;kg;90;SÍ;
2014;;4;BIFE DE CHORIZO;CARNE VACUNA;27999;kg;35;SÍ;
2013;;61;Bife de Chorizo Envasado;CARNE VACUNA;0,01;kg;140;SÍ;
2012;;5;BOCADO ANCHO;CARNE VACUNA;18837;kg;200;SÍ;
2011;;6;BOCADO FINO;CARNE VACUNA;17327;kg;75;SÍ;
2010;;7;BOLA DE LOMO;CARNE VACUNA;21687;kg;110;SÍ;
2009;;51;BRAZUELO;CARNE VACUNA;14987;kg;80;SÍ;
2008;;8;BROCHETTE;CARNE VACUNA;18257;kg;65;NO;
2007;;9;CARNE VACUNA;CARNE VACUNA;0,1;kg;70;NO;
2006;;55;CARRE;CARNE VACUNA;0,01;kg;45;SÍ;
2005;;53;Chuleton;CARNE VACUNA;23157;kg;60;SÍ;
2004;;58;Cogotera;CARNE VACUNA;7857;kg;120;SÍ;
2003;;10;COLITA DE CUADRIL;CARNE VACUNA;28457;kg;90;SÍ;
2001;;52;COLITA DE CUADRIL ENVASADA;CARNE VACUNA;28997;kg;100;SÍ;
2021;;11;CORTITO;CARNE VACUNA;7857;kg;80;SÍ;
2020;;12;COSTELETA ANCHA;CARNE VACUNA;22777;kg;250;SÍ;
2019;;13;COSTELETA FINA;CARNE VACUNA;22987;kg;160;SÍ;
7005;;14;COSTILLA;CARNE VACUNA;26999;kg;100;SÍ;
8974;;15;COSTILLA DEL MEDIO;CARNE VACUNA;26987;kg;100;NO;
0000;;16;COSTILLA ENVASADA AL VACIO;CARNE VACUNA;0,01;kg;100;SÍ;
0000;;67;COSTILLA PAMPA ENVASADA;CARNE VACUNA;0,01;kg;100;SÍ;
323;;17;CUADRIL;CARNE VACUNA;25987;kg;100;NO;
341;;57;Delantero;CARNE VACUNA;0,01;kg;100;SÍ;
0000;;18;ENTRANA DE COSTILLA;CARNE VACUNA;33307;kg;100;SÍ;
342;;19;ENTRECOT;CARNE VACUNA;25987;kg;100;SÍ;
15852;;20;FALDA;CARNE VACUNA;17327;kg;100;SÍ;
766;;21;FALDA DESHUESADA;CARNE VACUNA;24987;kg;100;SÍ;
1004;;22;FALDA ESPECIAL;CARNE VACUNA;23497;kg;100;SÍ;
0000;;65;Flat Iron Steak;CARNE VACUNA;21507;kg;100;SÍ;
0000;;56;Frances;CARNE VACUNA;0,01;kg;100;SÍ;
1;;177;GRASA MOLIDA;CARNE VACUNA;1427;kg;100;SÍ;
343;;23;GRASA VACUNA;CARNE VACUNA;757;kg;100;SÍ;
0000;;24;HAMBURGUESAS DE CARNE;CARNE VACUNA;13907;kg;100;SÍ;
0000;;25;HUESO;CARNE VACUNA;697;kg;100;SÍ;
344;;26;JAMON CUADRADO;CARNE VACUNA;21687;kg;100;SÍ;
501;;27;LOMO;CARNE VACUNA;32507;kg;100;SÍ;
0000;;70;Magron;CARNE VACUNA;0,01;kg;100;SÍ;
0000;;28;MARUCHA;CARNE VACUNA;17987;kg;100;SÍ;
2000;;71;MATAMBRE ARROLLADO;CARNE VACUNA;34997;kg;100;SÍ;
2002;;29;MATAMBRE CV;CARNE VACUNA;25999;kg;100;SÍ;
345;;30;MEDIA RES;CARNE VACUNA;0,01;kg;100;SÍ;
160;;31;MILANESA TRADICIONAL;CARNE VACUNA;17997;kg;100;SÍ;
346;;32;MILANESAS DE PECETO;CARNE VACUNA;24997;kg;100;SÍ;
347;;33;MOLIDA COMUN;CARNE VACUNA;9997;kg;100;SÍ;
131;;34;MOLIDA ESPECIAL;CARNE VACUNA;17987;kg;100;SÍ;
261;;35;MOLIDA INTERMEDIA;CARNE VACUNA;14807;kg;100;SÍ;
0000;;36;NALGA;CARNE VACUNA;25987;kg;100;SÍ;
3791;;62;Ojo de Bife Envasado;CARNE VACUNA;0,01;kg;100;SÍ;
1973;;37;OSOBUCO;CARNE VACUNA;13427;kg;100;SÍ;
348;;38;PALETA;CARNE VACUNA;20987;kg;100;SÍ;
262;;39;PALOMITA;CARNE VACUNA;20987;kg;100;SÍ;
2;;40;PARRILLERO;CARNE VACUNA;0,01;kg;100;SÍ;
145;;41;PECETO;CARNE VACUNA;27987;kg;100;SÍ;
132;;42;PIERNA;CARNE VACUNA;0,01;kg;100;SÍ;
0000;;54;Pistola -Pierna y Carre-;CARNE VACUNA;0,01;kg;100;SÍ;
440;;59;PLANCHA;CARNE VACUNA;0,01;kg;100;SÍ;
3;;43;PUCHERO;CARNE VACUNA;7897;kg;100;SÍ;
349;;99;PUNTA DE ESPALDA;CARNE VACUNA;19007;kg;100;SÍ;
263;;69;T BONE PAMPA ENVASADO;CARNE VACUNA;0,01;kg;100;SÍ;
264;;44;TAPA DE ASADO;CARNE VACUNA;24987;kg;100;SÍ;
880;;3333;tapa de cuadril;CARNE VACUNA;0,01;kg;100;SÍ;
352;;50;TAPA DE CUADRIL ENVASADA;CARNE VACUNA;25997;kg;100;SÍ;
350;;45;TAPA DE NALGA;CARNE VACUNA;25987;kg;100;SÍ;
351;;46;TAPITA DE CUADRIL;CARNE VACUNA;26987;kg;100;SÍ;
353;;47;TOMAHAWK;CARNE VACUNA;28557;kg;100;SÍ;
354;;63;Tomahawk Envasado;CARNE VACUNA;0,01;kg;100;SÍ;
355;;48;TORTUGUITA;CARNE VACUNA;18987;kg;100;SÍ;
356;;49;VACIO;CARNE VACUNA;26999;kg;100;SÍ;
5567;;64;Vacio Envasado;CARNE VACUNA;0,01;kg;100;SÍ;
357;;161;CHINCHULIN;ACHURAS;11250;kg;100;SÍ;
358;;162;CORAZON;ACHURAS;8990;kg;100;SÍ;
4000;;163;HIGADO;ACHURAS;7250;kg;100;SÍ;
241;;7,79E+12;LAUREL ALICANTE;ACHURAS;0;kg;100;SÍ;
359;;164;LENGUA;ACHURAS;13790;kg;100;SÍ;
360;;171;Lengua a la Vinagreta;ACHURAS;35000;kg;100;SÍ;
205;;165;MOLLEJA;ACHURAS;41390;kg;100;SÍ;
77;;166;MONDONGO;ACHURAS;12490;kg;100;SÍ;
361;;7,80E+12;PAPAS FINAS HIERBAS TRYMS;ACHURAS;0;kg;100;SÍ;
435;;999;PICADA DON LINO;ACHURAS;0;kg;100;SÍ;
362;;172;Pollo de Entrana;ACHURAS;0;kg;100;SÍ;
436;;175;Quijada;ACHURAS;6750;kg;100;SÍ;
100;;167;RABO;ACHURAS;10190;kg;100;SÍ;
2222;;168;RINON;ACHURAS;10875;kg;100;SÍ;
4;;169;SESOS;ACHURAS;3490;kg;100;SÍ;
61;;170;TRIPA GORDA;ACHURAS;9990;kg;100;NO;
5;;101;BOCADO DE CERDO;CARNE DE CERDO;1;kg;100;SÍ;
101;;102;BONDIOLA DE CERDO SHUESO;CARNE DE CERDO;13860;kg;100;SÍ;
6;;2800;BONDIOLA ENVASADA;CARNE DE CERDO;0;kg;100;SÍ;
7;;243;Brochette de Cerdo;CARNE DE CERDO;0;kg;100;SÍ;
2013;;120;CARRE DE CERDO;CARNE DE CERDO;9390;kg;100;SÍ;
502;;7878;CHURRASCO DE CERDO;CARNE DE CERDO;9330;kg;100;SÍ;
2028;;2801;CHURRASCO ENVASADO;CARNE DE CERDO;0;kg;100;SÍ;
2027;;103;COSTELETA DE CERDO;CARNE DE CERDO;10500;kg;100;SÍ;
230;;2802;COSTELETA DE CERDO ENVASADA;CARNE DE CERDO;0;kg;100;SÍ;
102;;104;COSTILLA DE CERDO;CARNE DE CERDO;12500;kg;100;SÍ;
211;;121;CUERO DE CERDO;CARNE DE CERDO;1690;kg;100;SÍ;
257;;105;ENTRECOT DE CERDO;CARNE DE CERDO;10890;kg;100;SÍ;
363;;106;GRASA DE CERDO;CARNE DE CERDO;1;kg;100;SÍ;
0000;;107;HAMBURGUESA DE CERDO;CARNE DE CERDO;9490;kg;100;SÍ;
910;;109;HUESO DE CERDO;CARNE DE CERDO;2500;kg;100;SÍ;
3164;;110;LOMO DE CERDO;CARNE DE CERDO;11990;kg;100;SÍ;
51;;2806;LOMO DE CERDO ENVASADO;CARNE DE CERDO;0;kg;100;SÍ;
8;;111;MATAMBRE CERDO;CARNE DE CERDO;25290;kg;100;SÍ;
243;;123;Matambre de Cerdo Envasado;CARNE DE CERDO;25450;kg;100;SÍ;
133;;112;MILANESAS DE CERDO;CARNE DE CERDO;12500;kg;100;SÍ;
364;;113;OSOBUCO DE CERDO;CARNE DE CERDO;8570;kg;100;SÍ;
2014;;114;PALETA DE CERDO;CARNE DE CERDO;9490;kg;100;SÍ;
4322;;119;PANCETA;CARNE DE CERDO;1;kg;100;SÍ;
365;;7847466;PANCETA PIANO;CARNE DE CERDO;0;kg;100;SÍ;
366;;115;PATITAS DE CERDO;CARNE DE CERDO;2990;kg;100;SÍ;
367;;2804;PECHITO ENVASADO;CARNE DE CERDO;0;kg;100;SÍ;
0000;;118;PIERNA DE CERDO;CARNE DE CERDO;9290;kg;100;SÍ;
503;;116;PULPA DE CERDO;CARNE DE CERDO;11290;kg;100;SÍ;
311;;126;Recorte de Cerdo 80-20;CARNE DE CERDO;0;kg;100;SÍ;
14766;;125;RIBS DE CERDO;CARNE DE CERDO;12015;kg;100;SÍ;
265;;124;Solomillo Envasado;CARNE DE CERDO;11990;kg;100;SÍ;
775;;6565;TOCINO;CARNE DE CERDO;14800;kg;100;NO;
774;;117;VACIO DE CERDO;CARNE DE CERDO;11590;kg;100;NO;
;;131;ALITA DE POLLO;CARNE DE POLLO;1990;kg;100;SÍ;
773;;145;Arrollado 4 Quesos;CARNE DE POLLO;0;kg;100;SÍ;
771;;132;ARROLLADO DE POLLO;CARNE DE POLLO;19999;kg;100;SÍ;
9;;133;BROCHETTE DE POLLO;CARNE DE POLLO;1;kg;100;SÍ;
55;;134;HAMBURGUESA POLLO;CARNE DE POLLO;9890;kg;100;SÍ;
120;;135;HUESOS DE POLLO;CARNE DE POLLO;1;kg;100;SÍ;
368;;136;MENUDO DE POLLO;CARNE DE POLLO;1790;kg;100;SÍ;
369;;137;MILANESA DE POLLO;CARNE DE POLLO;15500;kg;100;SÍ;
370;;138;PATA MUSLO DE POLLO;CARNE DE POLLO;6590;kg;100;SÍ;
371;;3518;PATA MUSLO DESHUESADA;CARNE DE POLLO;0;kg;100;SÍ;
266;;144;PECHUGA DE POLLO C/ HUESO;CARNE DE POLLO;9990;kg;100;SÍ;
0000;;139;PECHUGA RELLENA DE POLLO;CARNE DE POLLO;1;kg;100;SÍ;
0000;;140;PEHUGA DE POLLO C/HUESO;CARNE DE POLLO;9985;kg;100;SÍ;
601;;141;POLLO;CARNE DE POLLO;6500;kg;100;SÍ;
;;142;ROULETTE DE POLLO;CARNE DE POLLO;1;kg;100;SÍ;
8486;;143;SUPREMA DE POLLO;CARNE DE POLLO;14200;kg;100;SÍ;
8485;;188;CHORIZO ARABE;EMBUTIDOS;19120;kg;100;SÍ;
602;;181;CHORIZO COLORADO;EMBUTIDOS;3500;kg;100;SÍ;
372;;182;CHORIZO CON CHEDDAR;EMBUTIDOS;15550;kg;100;SÍ;
373;;183;CHORIZO CRIOLLOS;EMBUTIDOS;9990;kg;100;SÍ;
788;;184;CHORIZO DE CERDO;EMBUTIDOS;14760;kg;100;SÍ;
989;;190;CHORIZO DUBAI;EMBUTIDOS;18000;kg;100;SÍ;
7008;;180;CHORIZO GOURMET;EMBUTIDOS;15550;kg;100;SÍ;
0000;;185;MORCILLA;EMBUTIDOS;10500;kg;100;SÍ;
161;;186;MORCILLA VASCA;EMBUTIDOS;12700;kg;100;SÍ;
0000;;5157;Salame ahumado Alpino;EMBUTIDOS;21500;kg;100;SÍ;
374;;5155;Salame tipo COLONIA ALEMANA;EMBUTIDOS;18000;kg;100;SÍ;
375;;5153;Salchicha cocida knackwurst;EMBUTIDOS;15500;kg;100;SÍ;
188;;5152;Salchicha tipo Hungara;EMBUTIDOS;18500;kg;100;NO;
181;;187;SALCHICHAS;EMBUTIDOS;15900;kg;100;SÍ;
182;;241;BANDEJA PROVOLETA;FIAMBRES;26440;kg;100;SÍ;
183;;205;BATATA PROFECIA;FIAMBRES;3990;kg;100;SÍ;
184;;230;BONDIOLA;FIAMBRES;33300;kg;100;SÍ;
190;;211;BONDIOLA LARIO;FIAMBRES;33300;kg;100;SÍ;
180;;257;Bondiola Piamontesa;FIAMBRES;33300;kg;100;SÍ;
53;;788;Cheddar barra FETAS;FIAMBRES;0;kg;100;SÍ;
7878;;989;CHEDDAR BARRA LA QUESERA;FIAMBRES;14500;kg;100;SÍ;
376;;6589;Cremoso La Paulina;FIAMBRES;14500;kg;100;SÍ;
377;;259;Jamon Campo Austral;FIAMBRES;0;kg;100;SÍ;
267;;222;JAMON COCIDO AL NATURAL GRASSETTO;FIAMBRES;20900;kg;100;SÍ;
0000;;231;JAMON COCIDO NATURAL GRASETTO;FIAMBRES;20900;kg;100;SÍ;
1000;;458;JAMON COCIDO PALADINI;FIAMBRES;0;kg;100;SÍ;
1002;;207;JAMON CRUDO LARIO;FIAMBRES;32729;kg;100;SÍ;
454;;256;Jamon Crudo Tacural;FIAMBRES;0;kg;100;SÍ;
268;;232;JAMON LA TIROLESA;FIAMBRES;8500;kg;100;SÍ;
58;;254;Lomo Ahumado;FIAMBRES;26720;kg;100;SÍ;
378;;255;LOMO CERDO AHUMADO;FIAMBRES;26720;kg;100;SÍ;
10;;260;MORTADELA C/ PISTACHO;FIAMBRES;33120;kg;100;SÍ;
52;;7477;Mozza barra arroyo cabral;FIAMBRES;12000;kg;100;NO;
5000;;758;MOZZA PUNTA DEL AGUA;FIAMBRES;0;kg;100;SÍ;
5001;;9878;Muzzarella Arroyo;FIAMBRES;12000;kg;100;SÍ;
5002;;10008;Panceta Ahumada Grion;FIAMBRES;0;kg;100;SÍ;
504;;202;PANCETA AHUMADA LARIO;FIAMBRES;18900;kg;100;SÍ;
6455;;201;PANCETA CASERA;FIAMBRES;18900;kg;100;SÍ;
5425;;233;PANCETA SALADA;FIAMBRES;30000;kg;100;SÍ;
162;;203;PANCETA SALADA LA PIAMONTESA;FIAMBRES;18900;kg;100;SÍ;
11;;325;Parmesano LA QUESERA;FIAMBRES;0;kg;100;SÍ;
12;;208;PICADA;FIAMBRES;32000;kg;100;SÍ;
103;;2223;PROVO YERCO;FIAMBRES;0;kg;100;SÍ;
13;;223;PROVOLETAS YERCOVICH;FIAMBRES;24950;kg;100;SÍ;
14;;218;QUESO AZUL LA QUESERA;FIAMBRES;18650;kg;100;SÍ;
104;;206;QUESO CHEDDAR;FIAMBRES;15790;kg;100;SÍ;
15;;234;QUESO DANBO;FIAMBRES;18000;kg;100;SÍ;
16;;221;QUESO DANBO LA PAULINA;FIAMBRES;19100;kg;100;SÍ;
